Node,Degree
0,1
1,3
2,2
3,4
4,14
5,1821
6,2
7,178
8,47
9,1
10,9
11,1
12,1
13,1
14,196
15,3
16,5
17,1
18,178
19,2
20,1502
21,43
22,2
23,653
24,1
25,3558
26,2
27,15
28,1
29,1
30,1
31,260
32,1
33,2
34,1
35,665
36,1
37,11
38,1
39,193
40,1
41,120
42,2
43,2
44,3
45,1
46,3
47,1
48,65
49,1
50,300
51,1
52,545
53,4
54,3
55,2
56,66
57,1185
58,1
59,22
60,1
61,4
62,1
63,33
64,1
65,2
66,4
67,4
68,6
69,15
70,1
71,1
72,7
73,1
74,2
75,16
76,1
77,4
78,1
79,796
80,1
81,6
82,1
83,20
84,1
85,15
86,5
87,36
88,57
89,3
90,3
91,6
92,1
93,57
94,2
95,35
96,1
97,47
98,1
99,1
100,12
101,1
102,50
103,1
104,129
105,2
106,756
107,1
108,7
109,1
110,8
111,3
112,10
113,31
114,1
115,1
116,285
117,1
118,27
119,1
120,11
121,3
122,26
123,1
124,1
125,1
126,5
127,1
128,54
129,5
130,25
131,924
132,1
133,19
134,4
135,268
136,1
137,4
138,1
139,8
140,1
141,274
142,1
143,347
144,4
145,23
146,3
147,243
148,1
149,2
150,2
151,15
152,1
153,25
154,1
155,679
156,1
157,1
158,1
159,22
160,97
161,1530
162,6
163,8
164,3
165,58
166,1
167,1960
168,96
169,714
170,2
171,1
172,1
173,6
174,1
175,725
176,2
177,10
178,1
179,3
180,1
181,8
182,2
183,101
184,1
185,9
186,8
187,45
188,1
189,13
190,2
191,1
192,1
193,7
194,5
195,2
196,9
197,264
198,3
199,31
200,20
201,9
202,1
203,433
204,1
205,96
206,13
207,4
208,2
209,77
210,2
211,693
212,105
213,1
214,1
215,1
216,1
217,155
218,1
219,855
220,1
221,26
222,1
223,2
224,1
225,2
226,1
227,1
228,2
229,13
230,12
231,1
232,1
233,1
234,2
235,1
236,8
237,1
238,2
239,1
240,1
241,1
242,3
243,2
244,133
245,249
246,1
247,673
248,1
249,2
250,4
251,66
252,178
253,3
254,9
255,1
256,5
257,1
258,1
259,1
260,15
261,8
262,4
263,502
264,387
265,4
266,1
267,948
268,2
269,1
270,172
271,6
272,1
273,6
274,1
275,26
276,3
277,30
278,64
279,38
280,1
281,14
282,1
283,4
284,1
285,1
286,8
287,1
288,19
289,7
290,7
291,7
292,7
293,7
294,7
295,7
296,8
297,1
298,39
299,1
300,3
301,1
302,178
303,1
304,26
305,11
306,118
307,590
308,41
309,170
310,90
311,479
312,226
313,253
314,265
315,8
316,152
317,530
318,11
319,8
320,2
321,1841
322,4
323,308
324,90
325,1
326,29
327,1
328,387
329,1
330,20
331,1
332,2
333,1
334,1
335,1
336,1
337,152
338,10
339,2
340,5
341,13
342,1
343,1
344,26
345,186
346,14
347,10
348,2
349,1
350,199
351,34
352,243
353,1760
354,1
355,1
356,228
357,1
358,1
359,1
360,132
361,335
362,4
363,638
364,307
365,994
366,1726
367,1
368,206
369,1
370,337
371,1
372,152
373,1
374,13
375,2
376,53
377,1
378,2
379,1
380,1
381,1
382,836
383,1
384,1
385,3
386,126
387,1
388,1
389,1
390,1
391,107
392,5
393,3
394,1
395,13
396,4
397,3
398,5
399,2
400,183
401,1
402,1
403,11
404,2
405,3
406,2
407,183
408,288
409,371
410,1167
411,1
412,75
413,662
414,1090
415,1
416,1
417,23
418,1
419,1
420,6
421,25
422,7
423,210
424,3
425,119
426,20
427,1
428,51
429,1
430,833
431,1
432,3
433,1501
434,1
435,72
436,2
437,1
438,47
439,1
440,7
441,171
442,1
443,1
444,3
445,298
446,1
447,1
448,25
449,1
450,1477
451,6
452,137
453,871
454,138
455,1
456,1
457,6
458,5
459,157
460,3
461,1
462,272
463,2
464,102
465,1
466,19
467,8
468,35
469,5
470,287
471,4
472,271
473,5
474,7
475,258
476,2
477,6
478,4
479,1
480,1
481,358
482,1
483,278
484,2
485,3
486,1
487,21
488,2
489,2
490,19
491,94
492,82
493,8
494,1
495,2
496,220
497,1
498,39
499,1
500,1
501,9
502,1
503,11
504,4
505,2
506,1
507,22
508,1
509,1
510,4
511,1
512,1
513,50
514,1
515,236
516,2
517,1
518,1
519,1
520,2
521,1
522,14
523,1
524,6
525,4
526,70
527,2
528,43
529,1
530,21
531,1
532,692
533,1
534,3
535,3
536,18
537,5
538,113
539,85
540,297
541,1
542,102
543,1
544,567
545,3
546,285
547,18
548,60
549,684
550,106
551,231
552,457
553,32
554,297
555,481
556,57
557,1
558,404
559,1
560,1
561,1
562,1
563,5
564,6
565,190
566,8
567,2
568,2
569,97
570,752
571,2
572,1
573,11
574,1
575,1
576,1
577,1
578,1384
579,1
580,1
581,1
582,8
583,2
584,318
585,1
586,1
587,1
588,1
589,1
590,1
591,66
592,32
593,464
594,2
595,4
596,19
597,3
598,120
599,2
600,4
601,2
602,1
603,22
604,1
605,11
606,2
607,169
608,4
609,11
610,1
611,1
612,1
613,1
614,1
615,3
616,17
617,12
618,27
619,1
620,1
621,1
622,3
623,7
624,1
625,4
626,1
627,57
628,1
629,1
630,1
631,1
632,291
633,1
634,183
635,1
636,217
637,4
638,2
639,2
640,116
641,1
642,1
643,99
644,1
645,7
646,1
647,349
648,1
649,38
650,1
651,5
652,1
653,16
654,4
655,1895
656,135
657,530
658,1
659,2
660,5
661,746
662,1
663,4
664,129
665,314
666,908
667,2
668,179
669,1
670,24
671,686
672,80
673,117
674,135
675,225
676,43
677,574
678,9
679,14
680,90
681,1
682,56
683,2
684,87
685,75
686,1
687,213
688,2
689,893
690,1
691,821
692,2
693,369
694,109
695,3
696,70
697,3
698,1
699,2
700,111
701,14
702,108
703,1
704,13
705,1
706,6
707,3
708,65
709,362
710,1
711,3
712,2
713,284
714,1
715,1024
716,1
717,477
718,1
719,2
720,1
721,3
722,1
723,8
724,3
725,56
726,25
727,369
728,9
729,205
730,19
731,217
732,72
733,29
734,47
735,910
736,1
737,1
738,6
739,1
740,5
741,5
742,13
743,170
744,740
745,13
746,1
747,2
748,1
749,2
750,187
751,9
752,1
753,4
754,3
755,23
756,1
757,1
758,55
759,1
760,1
761,1
762,2
763,2
764,14
765,1
766,22
767,1
768,61
769,2
770,6
771,220
772,3
773,31
774,1
775,2
776,1
777,1
778,100
779,1
780,109
781,1
782,115
783,3
784,245
785,2
786,1
787,11
788,1
789,2
790,1
791,333
792,4
793,132
794,4
795,139
796,5
797,89
798,6
799,3
800,1
801,94
802,1
803,4
804,1
805,2
806,1
807,2
808,5
809,198
810,7
811,1
812,253
813,6
814,9
815,9
816,294
817,6
818,44
819,294
820,24
821,3
822,6
823,21
824,1
825,21
826,1
827,80
828,1
829,23
830,1
831,306
832,1
833,131
834,1
835,11
836,2
837,1
838,177
839,1
840,5
841,60
842,216
843,22
844,1
845,2
846,3
847,69
848,1
849,3
850,6
851,1269
852,1036
853,28
854,3
855,1144
856,4
857,356
858,1
859,1
860,1
861,12
862,1
863,2
864,30
865,739
866,1
867,1
868,2
869,48
870,12
871,1
872,10
873,1
874,39
875,1
876,972
877,1
878,334
879,3
880,1
881,51
882,1
883,1
884,1
885,10
886,1
887,116
888,95
889,97
890,2
891,2
892,2
893,17
894,1
895,4
896,3
897,79
898,1
899,160
900,2
901,7
902,4
903,2
904,554
905,1
906,2
907,1
908,7
909,1
910,90
911,11
912,3
913,825
914,1218
915,3
916,23
917,1
918,454
919,1
920,1
921,71
922,291
923,265
924,1
925,1
926,8
927,1
928,6
929,4
930,418
931,791
932,1
933,1
934,54
935,1
936,22
937,31
938,140
939,8
940,2
941,1
942,19
943,223
944,221
945,2
946,446
947,7
948,25
949,227
950,89
951,4
952,3
953,72
954,32
955,10
956,1
957,33
958,1
959,112
960,4
961,500
962,11
963,148
964,18
965,4
966,1876
967,488
968,7
969,26
970,6
971,22
972,4
973,5
974,248
975,1
976,15
977,1
978,1
979,1
980,2
981,4
982,1
983,3
984,7
985,1
986,9
987,1
988,200
989,1
990,19
991,3
992,6
993,3
994,2
995,77
996,1
997,9
998,81
999,84
1000,13
1001,125
1002,815
1003,982
1004,250
1005,113
1006,43
1007,1
1008,1
1009,6
1010,1
1011,33
1012,3
1013,1
1014,2
1015,1
1016,170
1017,447
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,295
1025,2
1026,375
1027,926
1028,8
1029,244
1030,52
1031,2
1032,368
1033,1
1034,1
1035,3
1036,145
1037,601
1038,1
1039,167
1040,3
1041,5
1042,2
1043,177
1044,1
1045,2
1046,2
1047,6
1048,7
1049,1
1050,3
1051,6
1052,46
1053,94
1054,1
1055,33
1056,1
1057,1
1058,3
1059,1
1060,140
1061,1
1062,7
1063,1
1064,11
1065,1
1066,147
1067,1
1068,6
1069,1
1070,2
1071,2
1072,108
1073,3
1074,1
1075,345
1076,1
1077,3
1078,1
1079,80
1080,1
1081,80
1082,1
1083,490
1084,1
1085,8
1086,10
1087,75
1088,3
1089,1261
1090,375
1091,1
1092,434
1093,1
1094,5
1095,324
1096,23
1097,2
1098,1
1099,11
1100,1
1101,2
1102,20
1103,5
1104,27
1105,124
1106,1
1107,1
1108,1
1109,2
1110,3
1111,1
1112,2
1113,17
1114,1
1115,45
1116,17
1117,160
1118,1530
1119,464
1120,205
1121,268
1122,1
1123,32
1124,2
1125,1
1126,2
1127,515
1128,1
1129,28
1130,2
1131,31
1132,1
1133,236
1134,1
1135,1
1136,12
1137,1
1138,1
1139,1
1140,112
1141,2
1142,33
1143,7
1144,4
1145,1
1146,54
1147,1
1148,17
1149,531
1150,137
1151,191
1152,146
1153,33
1154,19
1155,8
1156,31
1157,115
1158,3
1159,1
1160,1
1161,50
1162,1
1163,2
1164,3
1165,80
1166,270
1167,1
1168,63
1169,1
1170,1
1171,2
1172,1
1173,2
1174,2
1175,24
1176,5
1177,1
1178,25
1179,3
1180,31
1181,77
1182,1
1183,5
1184,1
1185,1
1186,1
1187,1
1188,8
1189,3
1190,33
1191,1
1192,2
1193,2
1194,1
1195,9
1196,1
1197,101
1198,1
1199,1
1200,7
1201,1
1202,12
1203,1
1204,10
1205,1
1206,1
1207,1
1208,1
1209,2
1210,1
1211,217
1212,1
1213,445
1214,1
1215,45
1216,1
1217,2
1218,87
1219,1
1220,6
1221,163
1222,51
1223,11
1224,1
1225,1
1226,1
1227,1
1228,1
1229,179
1230,2
1231,260
1232,1
1233,1
1234,1
1235,159
1236,1
1237,1
1238,10
1239,1
1240,7
1241,1
1242,3
1243,23
1244,35
1245,4
1246,200
1247,1
1248,2
1249,7
1250,19
1251,1
1252,11
