Node,Degree
0,242
1,186
2,58
3,124
4,107
5,5
6,122
7,21
8,330
9,5
10,67
11,30
12,75
13,100
14,170
15,589
16,15
17,178
18,20
19,109
20,176
21,43
22,106
23,4
24,59
25,46
26,121
27,266
28,834
29,15
30,12
31,362
32,26
33,106
34,666
35,127
36,10
37,16
38,1715
39,13
40,98
41,58
42,20
43,2325
44,73
45,42
46,478
47,429
48,246
49,93
50,614
51,80
52,24
53,622
54,357
55,211
56,69
57,915
58,33
59,21
60,40
61,185
62,440
63,232
64,297
65,381
66,172
67,164
68,52
69,151
70,192
71,347
72,4
73,6
74,950
75,2537
76,220
77,12
78,341
79,7
80,262
81,314
82,428
83,298
84,133
85,467
86,20
87,337
88,24
89,113
90,70
91,309
92,249
93,26
94,401
95,210
96,27
97,226
98,4
99,10
100,2
101,188
102,14
103,145
104,3
105,95
106,672
107,42
108,20
109,52
110,2
111,3
112,26
113,44
114,19
115,1
116,43
117,1
118,191
119,1
120,34
121,137
122,2
123,16
124,3
125,2
126,3
127,51
128,3
129,2
130,2
131,2
132,3
133,15
134,2
135,34
136,14
137,194
138,6
139,10
140,8
141,61
142,449
143,24
144,226
145,2
146,29
147,19
148,1
149,19
150,2
151,50
152,145
153,2
154,476
155,79
156,16
157,40
158,3
159,1
160,21
161,222
162,259
163,735
164,5
165,685
166,12
167,13
168,158
169,19
170,557
171,16
172,159
173,366
174,1
175,86
176,103
177,12
178,90
179,3
180,18
181,7
182,11
183,22
184,1740
185,76
186,117
187,98
188,48
189,120
190,638
191,77
192,27
193,2
194,1
195,57
196,1
197,17
198,3
199,7
200,2
201,2
202,1
203,2
204,1
205,1
206,73
207,9
208,1
209,98
210,1
211,1
212,1
213,8
214,47
215,4
216,13
217,1
218,4
219,20
220,20
221,4
222,7
223,117
224,60
225,27
226,177
227,20
228,2
229,1
230,20
231,3
232,1
233,70
234,2
235,12
236,49
237,333
238,13
239,40
240,1
241,28
242,2
243,19
244,1
245,28
246,14
247,2
248,151
249,13
250,143
251,25
252,6
253,57
254,121
255,49
256,54
257,34
258,188
259,6
260,1
261,47
262,25
263,6
264,1
265,179
266,4
267,37
268,63
269,349
270,1
271,5
272,2
273,1
274,17
275,1
276,8
277,2
278,27
279,7
280,19
281,6
282,86
283,5
284,5
285,1
286,1
287,4
288,34
289,6
290,44
291,3
292,22
293,50
294,2
295,13
296,1
297,3
298,14
299,1
300,301
301,7
302,63
303,63
304,2
305,178
306,14
307,64
308,16
309,4
310,11
311,5
312,98
313,110
314,12
315,38
316,89
317,64
318,1
319,79
320,1
321,76
322,124
323,334
324,189
325,1
326,3
327,3
328,2
329,127
330,58
331,26
332,1
333,9
334,30
335,1
336,244
337,11
338,62
339,1
340,116
341,60
342,11
343,37
344,218
345,27
346,105
347,12
348,116
349,2
350,51
351,3
352,18
353,1
354,2
355,21
356,214
357,1
358,19
359,4
360,84
361,26
362,4
363,64
364,16
365,1
366,15
367,11
368,2
369,9
370,2
371,2
372,63
373,18
374,2
375,31
376,1
377,6
378,44
379,2
380,11
381,137
382,40
383,14
384,67
385,6
386,18
387,53
388,34
389,20
390,1
391,9
392,38
393,1
394,237
395,53
396,139
397,38
398,6
399,3
400,1
401,1
402,44
403,13
404,5
405,124
406,18
407,17
408,67
409,72
410,3
411,20
412,16
413,101
414,2
415,153
416,1
417,314
418,1
419,101
420,27
421,68
