Node,Degree
0,264
1,53
2,21
3,68
4,3
5,55
6,239
7,3
8,1
9,9
10,215
11,17
12,1
13,29
14,12
15,10
16,28
17,29
18,113
19,12
20,11
21,43
22,2
23,6
24,33
25,3
26,795
27,37
28,13
29,27
30,103
31,3
32,13
33,1
34,2
35,31
36,1
37,2
38,7
39,1
40,7
41,84
42,75
43,11
44,52
45,87
46,1
47,1
48,5
49,9
50,6
51,1
52,12
53,1
54,12
55,3
56,24
57,10
58,1
59,20
60,9
61,1
62,1
63,2
64,8
65,2
66,16
67,1
68,7
69,42
70,4
71,1
72,12
73,9
74,1
75,61
76,2
77,1
78,2
79,6
80,7
81,15
82,6
83,26
84,42
85,9
86,42
87,1
88,4
89,7
90,2
91,9
92,3
93,6
94,1
95,34
96,2
97,13
98,120
99,2
100,2
101,4
102,1
103,22
104,11
105,24
106,45
107,1
108,16
109,3
110,5
111,38
112,5
113,11
114,6
115,1
116,3
117,8
118,2
119,3
120,27
121,7
122,3
123,2
124,9
125,5
126,2
127,14
128,14
129,1
130,2
131,1
132,54
133,1
134,4
135,4
136,1
137,4
138,11
139,40
140,7
141,10
142,6
143,1
144,3
145,26
146,2
147,12
148,1
149,2
150,3
151,1
152,3
153,24
154,2
155,3
156,1
157,1
158,3
159,51
160,6
161,9
162,4
163,128
164,10
165,34
166,1
167,16
168,7
169,2
170,31
171,1
172,2
173,7
174,1
175,14
176,57
177,10
178,4
179,2
180,23
181,1
182,9
183,13
184,11
185,8
186,6
187,6
188,15
189,4
190,33
191,5
192,1
193,3
194,3
195,14
196,3
197,1
198,8
199,11
200,4
201,8
202,18
203,13
204,6
205,11
206,5
207,1
208,3
209,20
210,3
211,9
212,1
213,1
214,6
215,2
216,36
217,95
218,2
219,3
220,3
221,8
222,7
223,2
224,2
225,5
226,20
227,1
228,6
229,6
230,49
231,2
232,12
233,29
234,24
235,2
236,6
237,2
238,5
239,2
240,62
241,1
242,6
243,15
244,10
245,6
246,2
247,1
248,8
249,1
250,1
251,1
252,2
253,7
254,1
255,25
256,6
257,3
258,10
259,2
260,3
261,4
262,1
263,1
264,116
265,1
266,1
267,2
268,13
269,56
270,9
271,1
272,13
273,3
274,2
275,2
276,3
277,4
278,6
279,9
280,6
281,6
282,12
283,1
284,5
285,12
286,1
287,1
288,3
289,1
290,10
291,2
292,4
293,1
294,1
295,1
296,1
297,1
298,1
299,3
300,8
301,1
302,19
303,1
304,1
305,4
306,25
307,8
308,4
309,1
310,28
311,3
312,2
313,92
314,1
315,1
316,4
317,6
318,2
319,16
320,2
321,84
322,1
323,40
324,1
325,3
326,7
327,1
328,1
329,1
330,1
331,2
332,6
333,1
334,12
335,4
336,1
337,3
338,10
339,1
340,4
341,1
342,1
343,19
344,13
345,1
346,11
347,19
348,1
349,2
350,10
351,1
352,3
353,12
354,12
355,24
356,12
357,5
358,1
359,18
360,1
361,8
362,8
363,1
364,6
365,21
366,3
367,2
368,14
369,3
370,7
371,3
372,10
373,1
374,2
375,20
376,16
377,10
378,14
379,8
380,1
381,6
382,1
383,7
384,3
385,37
386,1
387,16
388,4
389,1
390,1
391,2
392,4
393,5
394,1
395,2
396,13
397,3
398,2
399,7
400,2
401,9
402,1
403,17
404,2
405,1
406,23
407,3
408,5
409,5
410,1
411,2
412,24
413,3
414,3
415,10
416,1
417,2
418,2
419,4
420,5
421,1
422,16
423,5
424,5
425,14
426,2
427,4
428,63
429,15
430,2
431,1
432,15
433,1
434,1
435,9
436,19
437,3
438,3
439,6
440,16
441,53
442,1
443,1
444,27
445,1
446,4
447,2
448,9
449,10
450,3
451,20
452,57
453,21
454,9
455,13
456,4
457,4
458,3
459,7
460,8
461,4
462,12
463,2
464,1
465,1
466,4
467,5
468,4
469,4
470,2
471,1
472,4
473,2
474,5
475,2
476,5
477,3
478,5
479,2
480,19
481,11
482,36
483,65
484,1
485,2
486,4
487,2
488,1
489,1
490,11
491,1
492,4
493,16
494,11
495,29
496,4
497,65
498,9
499,23
500,49
501,1
502,3
503,1
504,2
505,86
506,170
507,17
508,5
509,2
510,53
511,2
512,1
513,2
514,9
515,2
516,2
517,4
518,3
519,3
520,2
521,10
522,2
523,10
524,5
525,1
526,9
527,3
528,3
529,19
530,6
531,2
532,5
533,2
534,1
535,6
536,8
537,9
538,15
539,1
540,2
541,2
542,4
543,1
544,10
545,4
546,5
547,3
548,2
549,6
550,4
551,56
552,4
553,4
554,2
555,1
556,3
557,9
558,1
559,1
